cpu,detail_buf,detail_code,detail_count,detail_dest_node,detail_dest_proc,detail_dest_thread,detail_file,detail_flags,detail_frompid,detail_gid_writer,detail_i_mode,detail_inode,detail_k__dev,detail_kgid,detail_kuid,detail_len,detail_msg,detail_pathname,detail_reply,detail_s_dev_inode,detail_sock,detail_topid,detail_transaction,detail_uid_inode,detail_uid_writer,event,flags,process,raw,tgid,tid,timestamp
7,12970367426014421369,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,33,8577,8577,2900937.474597
7,12970367426014421370,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,34,8577,8577,2900937.474602
7,12970367426014421371,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,35,8577,8577,2900937.474608
7,12970367426014421372,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,36,8577,8577,2900937.474614
7,12970367426014421373,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,37,8577,8577,2900937.474619
7,12970367426014421374,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,38,8577,8577,2900937.474624
7,12970367426014421375,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,39,8577,8577,2900937.474629
7,12970367426014421376,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,40,8577,8577,2900937.474634
7,12970367426014421377,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,41,8577,8577,2900937.47464
7,12970367426014421378,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,42,8577,8577,2900937.474645
7,12970367426014421379,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,43,8577,8577,2900937.474651
7,12970367426014421380,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,44,8577,8577,2900937.474657
7,12970367426014421381,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,45,8577,8577,2900937.474667
7,12970367426014421382,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,46,8577,8577,2900937.474674
7,12970367426014421383,,1,,,,18446743530375385792,,,,33206,57626,0,2000,2000,,,events_to_enable.txt,,266338357,,,,,,read_probe,d..1.,cleaned_trace_s,47,8577,8577,2900937.47468
